pressure,humidity,cloudcover,wind_gust,temperature_humidity_index,month,wind_direction,quarter,temperature_range,wind_speed,hour,is_day
0.3243,0.70102,0.71014,1.76726,-1.27569,0.1477,0.67532,0.0581,-0.18565,0.03146,-1.40681,-1.05578
1.1982,1.23112,-0.49892,-0.90561,-1.31659,0.1477,0.9651,0.0581,-0.18565,-1.02953,-1.40681,-1.05578
0.3243,1.38257,0.71014,1.32406,-2.97248,0.1477,0.48987,0.0581,-0.18565,0.19553,-1.40681,-1.05578
0.033,1.38257,0.71014,0.30361,-1.40274,0.1477,1.44032,0.0581,-0.18565,-0.53185,-1.40681,-1.05578
0.3243,-0.05626,0.71014,2.39923,-0.40367,0.1477,1.03464,0.0581,-0.18565,2.53627,-1.40681,-1.05578
0.3243,1.30685,0.31897,-0.04657,-1.25427,0.1477,1.70691,0.0581,-0.18565,-0.35137,-1.40681,-1.05578
0.3243,1.00394,-2.13471,-1.11353,-0.74484,0.1477,1.52146,0.0581,-0.18565,0.47445,-1.40681,-1.05578
0.3243,1.07966,0.71014,-0.85637,-1.53385,0.1477,-0.04331,0.0581,-0.18565,-1.05687,-1.40681,-1.05578
-0.5496,1.00394,0.71014,-0.08761,-1.17894,0.1477,0.60578,0.0581,-0.18565,-0.02323,-1.40681,-1.05578
0.3243,0.54957,0.71014,1.98339,-1.01081,0.1477,0.98828,0.0581,-0.18565,1.13073,-1.40681,-1.05578
-0.5496,0.70102,0.71014,-0.12318,-1.30306,0.1477,0.66373,0.0581,-0.18565,-0.23652,-1.40681,-1.05578
0.3243,0.85248,-0.71229,-0.01922,-0.91119,0.1477,1.38237,0.0581,-0.18565,-0.05057,-1.40681,-1.05578
0.6156,1.38257,0.71014,0.87265,-3.40452,0.1477,0.31601,0.0581,-0.18565,-0.47169,-1.40681,-1.05578
0.9069,1.30685,0.63902,-0.82901,-1.8701,0.1477,-2.21079,0.0581,-0.18565,-0.88186,-1.40681,-1.05578
0.6156,1.30685,0.67458,-0.74967,-1.72688,0.1477,-2.21079,0.0581,-0.18565,-0.72873,-1.40681,-1.05578
0.3243,0.92821,0.71014,-0.52807,-1.21819,0.1477,1.75327,0.0581,-0.18565,-0.49903,-1.40681,-1.05578
0.3243,0.85248,0.71014,0.51974,-1.12346,0.1477,0.8376,0.0581,-0.18565,-0.05057,-1.40681,-1.05578
0.3243,0.17093,-2.22361,-1.11353,-0.80119,0.1477,1.05782,0.0581,2.93059,-0.36778,-1.40681,-1.05578
0.6156,0.92821,0.71014,-0.84816,-1.27388,0.1477,0.87237,0.0581,-0.18565,-0.83811,-1.40681,-1.05578
-0.5496,0.85248,0.71014,-0.05752,-0.77736,0.1477,0.77964,0.0581,-0.18565,0.31038,-1.40681,-1.05578
0.033,1.23112,0.71014,0.6237,-1.25487,0.1477,1.18532,0.0581,-0.18565,0.04787,-1.40681,-1.05578
0.3243,0.92821,0.71014,-0.52807,-1.21819,0.1477,1.75327,0.0581,-0.18565,-0.49903,-1.40681,-1.05578
0.3243,1.00394,-2.13471,-1.11353,-0.74484,0.1477,1.52146,0.0581,-0.18565,0.47445,-1.40681,-1.05578
0.3243,0.6253,0.14117,-0.32289,-0.8022,0.1477,-2.28034,0.0581,-0.18565,-0.07245,-1.40681,-1.05578
-0.5496,0.39811,0.71014,-0.76882,-0.50386,0.1477,0.65214,0.0581,-0.18565,-0.75608,-1.40681,-1.05578
0.3243,0.77675,0.71014,0.56077,-1.19069,0.1477,0.91873,0.0581,-0.18565,-0.26933,-1.40681,-1.05578
0.3243,0.39811,0.71014,2.60715,-0.93157,0.1477,1.04623,0.0581,-0.18565,2.53627,-1.40681,-1.05578
0.3243,0.92821,0.71014,1.80556,-1.25996,0.1477,0.77964,0.0581,-0.18565,-0.25293,-1.40681,-1.05578
0.6156,1.00394,0.71014,-0.62656,-1.12293,0.1477,0.89555,0.0581,-0.18565,-0.76155,-1.40681,-1.05578
-0.5496,0.85248,0.71014,0.31182,-0.69892,0.1477,1.09259,0.0581,-0.18565,0.56195,-1.40681,-1.05578
0.3243,1.30685,0.71014,0.32002,-1.28768,0.1477,1.591,0.0581,-0.18565,-0.49903,-1.40681,-1.05578
0.3243,1.30685,0.71014,-0.41043,-1.28291,0.1477,1.62577,0.0581,-0.18565,-0.8053,-1.40681,-1.05578
0.3243,1.15539,0.71014,0.76322,-1.95915,0.1477,0.97669,0.0581,-0.18565,-0.71232,-1.40681,-1.05578
0.9069,1.30685,0.63902,-0.80165,-1.92261,0.1477,-2.16443,0.0581,-0.18565,-0.83811,-1.40681,-1.05578
0.3243,1.00394,0.71014,1.82745,-1.23028,0.1477,0.94191,0.0581,-0.18565,-0.14355,-1.40681,-1.05578
0.033,1.38257,0.71014,0.38295,-1.34993,0.1477,1.53305,0.0581,-0.18565,-0.47169,-1.40681,-1.05578
0.3243,-0.13198,0.71014,2.54422,-0.39328,0.1477,1.04623,0.0581,-0.18565,2.53627,-1.40681,-1.05578
